--
--
--
--
--

23001;;

ADM  ;;

UNIME;;

12003;ADIANTAMENTOS                           ;

32069;ANEPI                                   ;

31008;APOIO A PUC-RIO                         ;

32071;CENPES/PROPPANT                         ;

32021;CEPEL                                   ;

32047;CEPEL II                                ;

32022;CEPEL/DEE                               ;

32029;CO-FINANCIADORAS                        ;

32005;COMP/GRAF/RT                            ;

32006;COMPUTACAO GRAFICA                      ;

32034;CONVENIO ESPECIFICO                     ;

32026;CONVENIO/UNB                            ;

32039;CPQG/GIGA-ISABEL                        ;

32054;CTPETRO/FINEP II                        ;

32100;DESENVOLVIMENTO DA UNIVERDIDADE         ;

32103;E&P/CORPORATIVA                         ;

32063;ELETROBRAS I                            ;

32084;ELETROBRAS II                           ;

39000;ENCERRADOS                              ;

32037;GIS/CIDE                                ;

32024;IBM/PNI                                 ;

32038;IEPUC                                   ;

32055;INCUBADORA                              ;

32059;ITS/RT                                  ;

32003;LAB/BERGMANN                            ;

32015;LAB/BIOINFO                             ;

32060;LAB/COMUNICACAO SEM FIO                 ;

32082;LAB/EAD                                 ;

32078;LAB/ECONOMIA                            ;

32014;LAB/FOTOMECANICA                        ;

32002;LAB/GDAE                                ;

32074;LAB/GEOAMB                              ;

32090;LAB/GEOTECNICA                          ;

32062;LAB/GIS                                 ;

32018;LAB/GPSI                                ;

32035;LAB/GPSI/RT                             ;

32041;LAB/GS                                  ;

32016;LAB/GTEP                                ;

32079;LAB/IAG                                 ;

32049;LAB/ICAD                                ;

32056;LAB/ICP-MS/OES                          ;

32066;LAB/IDEIAS                              ;

32043;LAB/INSTRUMENTACAO                      ;

32017;LAB/ITUC                                ;

32011;LAB/KIDLINK                             ;

32012;LAB/LATR                                ;

32083;LAB/LCF                                 ;

32064;LAB/LEARN                               ;

32052;LAB/LECA                                ;

32004;LAB/LES                                 ;

32019;LAB/LFAA                                ;

32046;LAB/LMTT                                ;

32051;LAB/MAM                                 ;

32080;LAB/METALURGIA                          ;

32067;LAB/MSC                                 ;

32061;LAB/NEC                                 ;

32033;LAB/NEP                                 ;

32040;LAB/OPTOELETRONICA                      ;

32028;LAB/QUIMICA/AUCELIO                     ;

32053;LAB/QUIMICA/MARIA ISABEL                ;

32048;LAB/QUIMICA/REINALDO                    ;

32042;LAB/REOLOGIA DEM                        ;

32030;LAB/RI                                  ;

32010;LAB/SISTEMAS MOVEIS                     ;

32023;LAB/SOM                                 ;

32025;LAB/TECBD                               ;

32036;LAB/TECCOMM                             ;

32008;LAB/TECMF                               ;

32027;LAB/TECWEB                              ;

32001;LAB/TELEMIDIA                           ;

32020;LAB/TRANSDUTORES                        ;

32089;METROLOGIA                              ;

32065;MOTOROLA                                ;

32013;NEAM                                    ;

32044;NEP                                     ;

32076;NUCLEN/DEC                              ;

32032;NUCLEO DE INCLUSAO DIGITAL              ;

32007;ONIP                                    ;

32009;PEROXIDOS/DEMA                          ;

31009;PROJETOS ASSISTENCIA SOCIAL             ;

32092;SEBRAE/CO-FINANCIADORA                  ;

32091;SECPLAN                                 ;

32050;SEF                                     ;

34012;SERVICOS CETUC                          ;

34004;SERVICOS DEC                            ;

34005;SERVICOS DEE                            ;

34011;SERVICOS DEI                            ;

34003;SERVICOS DEM                            ;

34002;SERVICOS DEMA                           ;

34007;SERVICOS DEPTO QUIMICA                  ;

34013;SERVICOS DEPTO. ARTES                   ;

34014;SERVICOS DEPTO. ECONOMIA                ;

34009;SERVICOS DEPTO. FISICA                  ;

34008;SERVICOS DEPTO. INFORMATICA             ;

34019;SERVICOS DEPTO. LETRAS                  ;

34001;SERVICOS MATEMATICA                     ;

34016;SERVICOS OUTROS DEPTOS                  ;

34015;SERVICOS PORTINARI                      ;

32058;SOLECTRON                               ;

32045;TERMO COOP.PETROBRAS/ELETROBRAS         ;

32057;TERMO DE COOPERACAO II                  ;

32087;VRD/PMSG                                ;

